key	source	kind	count	blocker	items	evidence
oneof-bare-object-example-variant	vendor-portals	unreadable-document	39	the document does not parse; each path's parser reason is in enumeration.tsv	"[""advplyr--audiobookshelf/.devcontainer/devcontainer.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""advplyr--audiobookshelf/.vscode/launch.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""apache--superset/.devcontainer/default/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer-base.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/with-mcp/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/docs/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-embedded-sdk/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/generator-superset/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-chart-controls/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-switchboard/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-ag-grid-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-calendar/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-cartodiagram/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-chord/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-country-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-echarts/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-handlebars/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-horizon/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-paired-t-test/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-parallel-coordinates/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-partition/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-pivot-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-word-cloud/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-world-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-websocket/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""cohere-ai--cohere-developer-experience/tsconfig.json@c26cd7f411d63adb703b92ab2653e77b537c0e40"", ""gotson--komga/next-ui/tsconfig.app.json@656001eb03bf8b54ca909f3e74fe2ec1b95dac48"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json-modify.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/apimachinery/pkg/util/strategicpatch/testdata/swagger-merge-item.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/dynamic-resource-allocation/api/metadata/testdata/HEAD/metadata.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/kubectl/pkg/explain/test-swagger.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""mongodb--openapi/tools/cli/test/data/base_spec_with_mismatching_sunset_dates.json@20d74e290115694fd3efd36e2f1cd46869bc8483""]"	witness-search-vendor-portals/enumeration.tsv
property-sole-anyof-closed-object-member	vendor-portals	portal-unanswered	1	no-immutable-ref: GitHub REST commits/main returned HTTP 404 at 2026-09-24T07:30:39+00:00	"[""elevenlabs/elevenlabs-docs""]"	witness-search-portal-plan.tsv
property-sole-anyof-closed-object-member	vendor-portals	unreadable-document	39	the document does not parse; each path's parser reason is in enumeration.tsv	"[""advplyr--audiobookshelf/.devcontainer/devcontainer.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""advplyr--audiobookshelf/.vscode/launch.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""apache--superset/.devcontainer/default/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer-base.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/with-mcp/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/docs/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-embedded-sdk/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/generator-superset/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-chart-controls/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-switchboard/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-ag-grid-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-calendar/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-cartodiagram/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-chord/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-country-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-echarts/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-handlebars/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-horizon/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-paired-t-test/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-parallel-coordinates/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-partition/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-pivot-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-word-cloud/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-world-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-websocket/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""cohere-ai--cohere-developer-experience/tsconfig.json@c26cd7f411d63adb703b92ab2653e77b537c0e40"", ""gotson--komga/next-ui/tsconfig.app.json@656001eb03bf8b54ca909f3e74fe2ec1b95dac48"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json-modify.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/apimachinery/pkg/util/strategicpatch/testdata/swagger-merge-item.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/dynamic-resource-allocation/api/metadata/testdata/HEAD/metadata.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/kubectl/pkg/explain/test-swagger.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""mongodb--openapi/tools/cli/test/data/base_spec_with_mismatching_sunset_dates.json@20d74e290115694fd3efd36e2f1cd46869bc8483""]"	witness-search-vendor-portals/enumeration.tsv
property-sole-anyof-composed-member	vendor-portals	portal-unanswered	1	no-immutable-ref: GitHub REST commits/main returned HTTP 404 at 2026-09-24T07:30:39+00:00	"[""elevenlabs/elevenlabs-docs""]"	witness-search-portal-plan.tsv
property-sole-anyof-composed-member	vendor-portals	unreadable-document	39	the document does not parse; each path's parser reason is in enumeration.tsv	"[""advplyr--audiobookshelf/.devcontainer/devcontainer.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""advplyr--audiobookshelf/.vscode/launch.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""apache--superset/.devcontainer/default/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer-base.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/with-mcp/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/docs/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-embedded-sdk/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/generator-superset/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-chart-controls/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-switchboard/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-ag-grid-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-calendar/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-cartodiagram/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-chord/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-country-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-echarts/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-handlebars/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-horizon/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-paired-t-test/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-parallel-coordinates/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-partition/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-pivot-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-word-cloud/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-world-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-websocket/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""cohere-ai--cohere-developer-experience/tsconfig.json@c26cd7f411d63adb703b92ab2653e77b537c0e40"", ""gotson--komga/next-ui/tsconfig.app.json@656001eb03bf8b54ca909f3e74fe2ec1b95dac48"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json-modify.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/apimachinery/pkg/util/strategicpatch/testdata/swagger-merge-item.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/dynamic-resource-allocation/api/metadata/testdata/HEAD/metadata.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/kubectl/pkg/explain/test-swagger.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""mongodb--openapi/tools/cli/test/data/base_spec_with_mismatching_sunset_dates.json@20d74e290115694fd3efd36e2f1cd46869bc8483""]"	witness-search-vendor-portals/enumeration.tsv
property-sole-anyof-empty-object-member	vendor-portals	portal-unanswered	1	no-immutable-ref: GitHub REST commits/main returned HTTP 404 at 2026-09-24T07:30:39+00:00	"[""elevenlabs/elevenlabs-docs""]"	witness-search-portal-plan.tsv
property-sole-anyof-empty-object-member	vendor-portals	unreadable-document	39	the document does not parse; each path's parser reason is in enumeration.tsv	"[""advplyr--audiobookshelf/.devcontainer/devcontainer.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""advplyr--audiobookshelf/.vscode/launch.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""apache--superset/.devcontainer/default/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer-base.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/with-mcp/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/docs/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-embedded-sdk/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/generator-superset/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-chart-controls/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-switchboard/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-ag-grid-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-calendar/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-cartodiagram/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-chord/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-country-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-echarts/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-handlebars/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-horizon/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-paired-t-test/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-parallel-coordinates/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-partition/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-pivot-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-word-cloud/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-world-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-websocket/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""cohere-ai--cohere-developer-experience/tsconfig.json@c26cd7f411d63adb703b92ab2653e77b537c0e40"", ""gotson--komga/next-ui/tsconfig.app.json@656001eb03bf8b54ca909f3e74fe2ec1b95dac48"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json-modify.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/apimachinery/pkg/util/strategicpatch/testdata/swagger-merge-item.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/dynamic-resource-allocation/api/metadata/testdata/HEAD/metadata.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/kubectl/pkg/explain/test-swagger.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""mongodb--openapi/tools/cli/test/data/base_spec_with_mismatching_sunset_dates.json@20d74e290115694fd3efd36e2f1cd46869bc8483""]"	witness-search-vendor-portals/enumeration.tsv
property-sole-anyof-struct-member	vendor-portals	inconclusive-screen	1	not-run: Fern check timed out after 3600 seconds	"[""https://raw.githubusercontent.com/cloudflare/api-schemas/f2df0ca75c0fec9047e91a34c20dd666c2dcd1ba/openapi.json@f2df0ca75c0fec9047e91a34c20dd666c2dcd1ba""]"	witness-search-vendor-portals/records.tsv
property-sole-anyof-struct-member	vendor-portals	portal-unanswered	1	no-immutable-ref: GitHub REST commits/main returned HTTP 404 at 2026-09-24T07:30:39+00:00	"[""elevenlabs/elevenlabs-docs""]"	witness-search-portal-plan.tsv
property-sole-anyof-struct-member	vendor-portals	unreadable-document	39	the document does not parse; each path's parser reason is in enumeration.tsv	"[""advplyr--audiobookshelf/.devcontainer/devcontainer.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""advplyr--audiobookshelf/.vscode/launch.json@0a797ab8bee15dc3ca92d1d76155259c46dbec62"", ""apache--superset/.devcontainer/default/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer-base.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/.devcontainer/with-mcp/devcontainer.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/docs/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-embedded-sdk/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/generator-superset/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-chart-controls/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-core/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/packages/superset-ui-switchboard/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-ag-grid-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-calendar/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-cartodiagram/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-chord/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-country-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-echarts/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-handlebars/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-horizon/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-paired-t-test/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-parallel-coordinates/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-partition/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-pivot-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-table/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-word-cloud/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/plugins/plugin-chart-world-map/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-frontend/tsconfig.json@485008224719a7b42162429fccb4a910347c532b"", ""apache--superset/superset-websocket/oxlint.json@485008224719a7b42162429fccb4a910347c532b"", ""cohere-ai--cohere-developer-experience/tsconfig.json@c26cd7f411d63adb703b92ab2653e77b537c0e40"", ""gotson--komga/next-ui/tsconfig.app.json@656001eb03bf8b54ca909f3e74fe2ec1b95dac48"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json-modify.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/hack/testdata/multi-resource-json.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/apimachinery/pkg/util/strategicpatch/testdata/swagger-merge-item.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/dynamic-resource-allocation/api/metadata/testdata/HEAD/metadata.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""kubernetes--kubernetes/staging/src/k8s.io/kubectl/pkg/explain/test-swagger.json@b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe"", ""mongodb--openapi/tools/cli/test/data/base_spec_with_mismatching_sunset_dates.json@20d74e290115694fd3efd36e2f1cd46869bc8483""]"	witness-search-vendor-portals/enumeration.tsv
property-sole-oneof-closed-object-member	vendor-portals	portal-unanswered	1	no-immutable-ref: GitHub REST commits/main returned HTTP 404 at 2026-09-24T07:30:39+00:00	"[""elevenlabs/elevenlabs-docs""]"	witness-search-portal-plan.tsv
